type,country,date_added,release_year,rating,duration,listed_in
Movie,United States,25-Nov-18,2015,TV-14,95 min,Documentaries
TV Show,United Kingdom,1-Feb-19,2014,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
Movie,"United States, Canada",15-Apr-18,2010,TV-G,87 min,"Children & Family Movies, Comedies"
TV Show,Malaysia,15-Oct-17,2017,TV-Y7,1 Season,"Kids' TV, TV Comedies"
Movie,United States,15-Jan-17,2015,TV-PG,83 min,"Documentaries, Sports Movies"
Movie,United States,1-May-17,2016,NR,90 min,Documentaries
TV Show,United States," December 15, 2015",2014,TV-PG,4 Seasons,"TV Comedies, TV Dramas"
Movie,India,1-Mar-18,1999,TV-PG,151 min,"Action & Adventure, Comedies, Dramas"
TV Show,Indonesia,21-Aug-17,2015,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Movie,United States,2-Jan-18,2017,TV-MA,89 min,"Documentaries, Horror Movies"
Movie,United States,1-Mar-19,2018,TV-MA,99 min,"Horror Movies, Independent Movies"
Movie,Australia,1-Feb-19,2017,TV-MA,86 min,"Documentaries, International Movies"
TV Show,"Canada, United States"," September 8, 2015",2015,TV-14,5 Seasons,"Classic & Cult TV, TV Horror, TV Mysteries"
Movie,United States,10-Jun-17,2016,TV-MA,85 min,"Horror Movies, Thrillers"
Movie,"Ireland, United States",1-Mar-20,2011,R,93 min,Action & Adventure
Movie,"United States, United Arab Emirates",1-Jun-18,2015,PG-13,89 min,Documentaries
Movie,United States,12-Jan-19,2018,R,89 min,"Horror Movies, Thrillers"
Movie,United States,13-Sep-19,2018,TV-MA,90 min,"Horror Movies, Independent Movies"
Movie,Australia,25-Aug-18,1998,TV-MA,104 min,"Dramas, Independent Movies, LGBTQ Movies"
Movie,United States,1-Feb-19,2017,TV-14,107 min,Documentaries
Movie,United States,31-Dec-19,2001,PG-13,124 min,"Comedies, Romantic Movies"
Movie,United States,1-Jan-18,2017,TV-MA,87 min,Thrillers
TV Show,Canada,22-Jun-18,2018,TV-MA,2 Seasons,"International TV Shows, Reality TV"
Movie,"United States, China",1-Apr-19,2016,PG,94 min,Children & Family Movies
TV Show,"United States, Canada",10-Nov-18,2015,TV-MA,1 Season,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy"
Movie,United States,6-Sep-18,2015,R,86 min,"Action & Adventure, Comedies, Independent Movies"
TV Show,"Canada, United Kingdom"," May 28, 2016",2016,TV-14,5 Seasons,"Crime TV Shows, TV Action & Adventure"
Movie,United States,1-Jan-19,2016,R,102 min,"Dramas, Independent Movies"
Movie,United States,1-Dec-18,2004,PG-13,122 min,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy"
Movie,United States,29-Jul-18,2013,R,126 min,"Dramas, Romantic Movies, Sci-Fi & Fantasy"
Movie,United States,2-May-19,2018,TV-14,87 min,Dramas
Movie,India,31-Dec-19,1976,TV-14,156 min,"Action & Adventure, Comedies, Dramas"
Movie,United States,1-Jul-17,2016,TV-MA,97 min,Horror Movies
Movie,"Hong Kong, China",1-Aug-18,1997,TV-MA,89 min,"Action & Adventure, International Movies"
TV Show,Denmark,1-Jun-19,2018,TV-MA,2 Seasons,"International TV Shows, TV Dramas"
Movie,United States,24-Jul-20,2017,TV-MA,88 min,Action & Adventure
TV Show,South Korea,19-May-17,2015,TV-Y7,1 Season,"International TV Shows, Korean TV Shows, Reality TV"
Movie,India,1-Mar-18,2010,TV-14,96 min,"Horror Movies, International Movies, Thrillers"
Movie,China,19-Aug-17,2016,TV-14,104 min,"International Movies, Thrillers"
Movie,Australia,1-Feb-17,2015,TV-14,80 min,"Documentaries, International Movies, Music & Musicals"
TV Show,Canada," December 3, 2019",2016,TV-PG,3 Seasons,Reality TV
TV Show,United States," November 1, 2016",1988,TV-PG,5 Seasons,TV Dramas
TV Show,United Kingdom,1-Aug-17,2016,TV-14,3 Seasons,"British TV Shows, Crime TV Shows, International TV Shows"
Movie,United Kingdom,31-Mar-17,2015,TV-PG,95 min,Documentaries
Movie,"India, United States",1-Dec-17,2010,TV-MA,97 min,"Horror Movies, International Movies, Thrillers"
TV Show,Argentina,13-Jan-17,2015,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
Movie,India,1-Aug-18,2017,TV-14,118 min,"Dramas, International Movies"
TV Show,Australia,12-Jul-19,2016,TV-PG,1 Season,"British TV Shows, Docuseries"
Movie,United States,1-Jan-20,2005,PG-13,118 min,"Comedies, Romantic Movies"
Movie,United Kingdom,1-Aug-16,2016,TV-PG,44 min,"Documentaries, Sports Movies"
Movie,France,1-Nov-17,2017,TV-14,54 min,"Documentaries, International Movies"
Movie,Pakistan,1-Jul-17,2015,TV-PG,170 min,"Dramas, International Movies, Romantic Movies"
TV Show,United States,1-Aug-17,2016,TV-Y,1 Season,Kids' TV
Movie,Turkey,10-Mar-17,2006,TV-MA,118 min,"Comedies, Dramas, International Movies"
Movie,Australia,1-Aug-16,2015,TV-MA,128 min,"Dramas, International Movies, LGBTQ Movies"
Movie,"United States, Ireland",15-Jul-16,2016,TV-MA,106 min,"Comedies, Horror Movies"
Movie,United States,1-Sep-16,2016,NR,103 min,Documentaries
Movie,Thailand,30-Jul-18,2008,TV-14,92 min,"Comedies, Faith & Spirituality, International Movies"
Movie,Thailand,30-Jul-18,2010,TV-MA,102 min,"Comedies, Faith & Spirituality, International Movies"
Movie,India,1-May-18,2017,TV-14,126 min,"Dramas, International Movies"
Movie,,15-Oct-19,2019,TV-PG,73 min,"Dramas, Independent Movies, International Movies"
Movie,United States,1-Oct-19,2011,PG-13,111 min,"Dramas, Romantic Movies"
Movie,United States,3-Apr-18,2018,PG-13,100 min,Dramas
Movie,United States,3-Nov-18,2011,PG,86 min,"Children & Family Movies, Comedies"
Movie,India,1-Sep-18,2018,TV-14,95 min,"Children & Family Movies, Comedies, Dramas"
Movie,United States,8-Nov-18,2018,PG,79 min,Dramas
Movie,"United States, South Africa",15-Dec-19,2017,TV-14,81 min,"Documentaries, International Movies, Sports Movies"
TV Show,Thailand,30-Jun-18,2015,TV-MA,3 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas"
Movie,"United States, Canada",1-Aug-19,2013,R,120 min,"Dramas, Horror Movies, Sci-Fi & Fantasy"
TV Show,United Kingdom,2-Oct-19,2016,TV-14,1 Season,"British TV Shows, Docuseries, International TV Shows"
Movie,India,12-Apr-19,2013,TV-14,85 min,"Horror Movies, International Movies"
Movie,"Ireland, United Kingdom, Italy, United States",15-Jan-17,2016,TV-14,96 min,"Documentaries, International Movies"
Movie,,29-Jan-18,2017,TV-PG,91 min,"Documentaries, International Movies"
Movie,United States,15-Aug-18,2017,R,134 min,Dramas
Movie,United States,1-Mar-16,2016,NR,93 min,Comedies
Movie,United Kingdom,13-Aug-17,2016,TV-MA,82 min,"Comedies, Independent Movies"
Movie,United States,20-Nov-19,2007,PG-13,88 min,"Comedies, Sports Movies"
TV Show,Belgium,16-Mar-17,2017,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Movie,"Poland,",1-Oct-19,1975,TV-MA,96 min,"Classic Movies, Dramas, International Movies"
Movie,United States,24-Jan-19,2018,PG,97 min,"Children & Family Movies, Comedies"
Movie,"United States, Canada",8-May-20,2012,PG-13,101 min,"Horror Movies, Thrillers"
Movie,"United States, Canada",6-Jan-18,2016,TV-14,88 min,Documentaries
Movie,"Slovenia, Croatia, Germany, Czech Republic, Qatar",20-Jul-17,2016,TV-14,84 min,"Comedies, Independent Movies, International Movies"
Movie,"United States, United Kingdom",1-Feb-18,2017,TV-PG,110 min,"Documentaries, Music & Musicals"
Movie,United States,1-Jun-17,2000,PG,105 min,"Children & Family Movies, Comedies"
Movie,"Mexico, United States",1-Nov-19,2017,PG-13,116 min,Comedies
Movie,United States,1-Nov-19,1997,R,94 min,Comedies
Movie,"Canada, United Kingdom, Netherlands",1-Jan-16,2015,NR,110 min,"Documentaries, International Movies"
TV Show,,15-Sep-18,2018,TV-MA,1 Season,"British TV Shows, International TV Shows, Reality TV"
Movie,United States,1-Apr-18,1995,PG-13,116 min,"Dramas, Romantic Movies"
Movie,United States,1-Aug-16,2016,TV-PG,51 min,Documentaries
Movie,India,1-Jan-18,2012,TV-14,103 min,"Dramas, International Movies"
Movie,United States,1-Jun-20,2009,PG-13,83 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,India,1-Jan-18,1999,TV-G,176 min,"Dramas, International Movies, Music & Musicals"
Movie,India,22-Oct-17,2006,TV-PG,149 min,"International Movies, Music & Musicals, Romantic Movies"
TV Show,Pakistan,15-Dec-16,2011,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Movie,United Kingdom,23-Jun-18,2014,TV-MA,79 min,"Horror Movies, Independent Movies, International Movies"
Movie,Canada,1-Jan-20,2010,R,97 min,Action & Adventure
Movie,"United States, Spain, Germany",22-Oct-19,2015,R,91 min,"Action & Adventure, Independent Movies"
TV Show,United Kingdom,1-Feb-19,2015,TV-14,1 Season,"British TV Shows, Docuseries"
TV Show,"United States, Italy"," January 1, 2018",2011,TV-Y7,2 Seasons,Kids' TV
Movie,United States,1-Jan-17,2016,TV-MA,85 min,"Comedies, Independent Movies, LGBTQ Movies"
Movie,United States,15-Aug-18,2018,TV-MA,85 min,"Comedies, Independent Movies, LGBTQ Movies"
Movie,United States,1-Dec-19,2005,R,117 min,"Dramas, Independent Movies, Music & Musicals"
TV Show,,29-Mar-18,2018,TV-14,2 Seasons,"International TV Shows, Korean TV Shows, Reality TV"
Movie,Argentina,8-Jun-17,2016,TV-MA,84 min,"Horror Movies, International Movies, Thrillers"
Movie,"India, Japan",4-Mar-19,2010,TV-MA,106 min,"Dramas, Independent Movies, International Movies"
Movie,United Kingdom,1-Oct-17,2016,PG,107 min,"Documentaries, Sports Movies"
Movie,United States,26-May-17,2017,TV-14,98 min,Documentaries
Movie,United States,1-Apr-19,2018,TV-14,54 min,Documentaries
TV Show,Mexico,3-Mar-17,2016,TV-14,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
Movie,China,2-Sep-17,2016,TV-14,139 min,"Comedies, Dramas, International Movies"
Movie,"China, South Korea, United States",1-Feb-17,2015,NR,88 min,"Documentaries, International Movies"
Movie,United Kingdom,22-Dec-18,2018,R,93 min,Action & Adventure
Movie,United States,16-Sep-19,2016,R,91 min,"Action & Adventure, Dramas"
Movie,United States,23-Mar-19,2011,PG-13,89 min,Comedies
Movie,,31-Jan-19,2017,TV-14,106 min,"Children & Family Movies, Documentaries"
Movie,Thailand,5-Sep-18,2014,TV-14,116 min,"Comedies, International Movies, Romantic Movies"
Movie,"United Kingdom, France, Belgium",19-Apr-19,2016,R,100 min,"Dramas, Independent Movies"
Movie,United States,22-Oct-19,2015,PG-13,96 min,"Comedies, Dramas, Independent Movies"
Movie,United States,1-Oct-17,2013,PG,119 min,"Dramas, Faith & Spirituality, Romantic Movies"
TV Show,United States,13-Sep-19,2019,TV-MA,2 Seasons,TV Comedies
Movie,"Canada, Ireland, United States",1-Oct-17,2016,TV-MA,108 min,"Documentaries, International Movies, Sports Movies"
Movie,"China, Hong Kong",23-Jan-18,2014,R,104 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy"
Movie,India,1-Jan-18,2010,TV-14,124 min,"Comedies, International Movies, Romantic Movies"
TV Show,United States,15-Dec-18,2014,TV-PG,1 Season,"Reality TV, TV Comedies"
Movie,"United States, France",1-Sep-19,2008,PG,87 min,Children & Family Movies
Movie,United States,1-Sep-13,2013,NR,75 min,Stand-Up Comedy
Movie,"United States, Germany",7-Dec-19,2009,PG,108 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
Movie,France,6-Jun-19,1974,UR,103 min,"Dramas, International Movies, Romantic Movies"
TV Show,Taiwan,1-Jan-17,2012,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Movie,United States,19-Mar-18,2017,R,103 min,"Action & Adventure, Dramas"
Movie,"United Kingdom, United States, Dominican Republic",10-Jan-18,2017,PG-13,89 min,"Horror Movies, International Movies, Thrillers"
Movie,Turkey,10-Mar-17,2014,TV-14,103 min,"Dramas, International Movies, Romantic Movies"
Movie,"Serbia, United States",26-Oct-18,2019,TV-MA,89 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,India,8-Apr-17,2017,TV-MA,119 min,"Dramas, International Movies, Romantic Movies"
Movie,"United Kingdom, United States",1-Mar-18,2017,R,106 min,Thrillers
Movie,"United States, Senegal",1-Sep-17,2015,TV-MA,90 min,Documentaries
Movie,United States,8-Feb-19,2018,PG,118 min,"Children & Family Movies, Comedies"
Movie,India,17-Feb-17,2014,NR,95 min,"Dramas, Independent Movies, International Movies"
TV Show,United Kingdom,1-Mar-17,2015,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV"
Movie,United States,1-Jan-19,2008,PG-13,123 min,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy"
Movie,United States,1-Jan-19,1989,PG-13,127 min,"Action & Adventure, Children & Family Movies, Classic Movies"
Movie,United States,1-Jan-19,1981,PG,116 min,"Action & Adventure, Children & Family Movies, Classic Movies"
Movie,United States,1-Jan-19,1984,PG,119 min,"Action & Adventure, Children & Family Movies, Classic Movies"
Movie,United States,1-Feb-17,2016,TV-MA,99 min,"Dramas, Thrillers"
Movie,United States,29-Aug-18,2013,PG,90 min,Documentaries
Movie,United Kingdom,1-Apr-18,2016,TV-PG,90 min,"Documentaries, International Movies"
Movie,"Germany, United States",22-Jul-19,2009,R,153 min,Action & Adventure
Movie,"Germany, United Kingdom, United States",1-Jul-19,2008,PG,106 min,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy"
Movie,India,1-Mar-18,2005,TV-14,141 min,"Action & Adventure, Dramas, International Movies"
TV Show,United Kingdom,15-Sep-18,2017,TV-MA,1 Season,"British TV Shows, Docuseries, International TV Shows"
TV Show,United States,1-Jul-19,2015,TV-14,1 Season,"Crime TV Shows, Docuseries"
TV Show,Israel,29-Jan-19,2017,TV-14,1 Season,"Docuseries, International TV Shows"
TV Show,United Kingdom,31-Dec-18,2018,TV-MA,1 Season,Reality TV
Movie,Mexico,1-Jan-20,2013,PG-13,122 min,"Comedies, Dramas, International Movies"
TV Show,Canada,19-Jul-17,2007,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas"
Movie,United States,21-Jul-16,2016,TV-14,87 min,Comedies
Movie,Canada,7-Nov-18,2015,R,102 min,"Dramas, International Movies, Sci-Fi & Fantasy"
Movie,Japan,1-Sep-17,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies"
Movie,Japan,1-Sep-17,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies"
Movie,Japan,1-Sep-17,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies"
Movie,United States,1-Nov-19,2009,PG-13,134 min,"Dramas, Sports Movies"
Movie,Canada,14-Jan-19,2018,TV-PG,91 min,Documentaries
Movie,"South Africa, Germany, Netherlands, France",1-Feb-18,2017,TV-MA,88 min,"Dramas, Independent Movies, International Movies"
Movie,India,1-Mar-18,2006,TV-Y7,127 min,"Dramas, Independent Movies, International Movies"
Movie,India,15-Mar-18,2010,TV-14,137 min,"Comedies, Dramas, International Movies"
Movie,United States,19-Jul-19,2018,TV-14,77 min,"Documentaries, Sports Movies"
Movie,United States,12-Oct-14,2014,PG,71 min,"Children & Family Movies, Sci-Fi & Fantasy"
TV Show,"Canada, United States, United Kingdom, France, Luxembourg",1-Aug-20,2011,TV-Y7,2 Seasons,Kids' TV
Movie,India,1-Mar-18,2015,TV-14,130 min,"Dramas, International Movies, Romantic Movies"
TV Show,United Kingdom,1-Mar-17,2014,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV"
TV Show,South Korea,19-Feb-18,2015,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows"
Movie,India,1-Mar-18,2013,TV-MA,140 min,"Dramas, International Movies, Music & Musicals"
Movie,United States,20-Nov-19,1995,PG,101 min,"Children & Family Movies, Comedies"
Movie,,3-May-19,2012,TV-14,101 min,"Comedies, International Movies, Music & Musicals"
Movie,Spain,1-Mar-16,2015,TV-MA,91 min,"Comedies, International Movies, Romantic Movies"
Movie,Egypt,6-Jun-19,2017,TV-14,84 min,"Comedies, International Movies, Music & Musicals"
Movie,United States,1-Apr-16,2014,NR,88 min,"Documentaries, Sports Movies"
Movie,,1-Sep-18,2018,TV-Y7,68 min,Children & Family Movies
Movie,India,31-Dec-19,2006,TV-14,163 min,"Dramas, International Movies, Romantic Movies"
Movie,"France, Belgium",8-Feb-17,2013,PG,93 min,"Children & Family Movies, Music & Musicals"
Movie,Canada,16-Jul-19,2018,TV-MA,86 min,"Documentaries, Sports Movies"
TV Show,"United States, Ireland",31-Mar-13,2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Movie,United States,1-Aug-19,1997,R,154 min,"Dramas, Thrillers"
Movie,Vietnam,6-Oct-18,2015,TV-14,92 min,"Comedies, Dramas, International Movies"
Movie,India,31-Dec-19,2009,TV-14,132 min,"Dramas, International Movies"
Movie,,6-Aug-17,2014,TV-Y,22 min,Movies
Movie,India,15-Oct-17,2013,TV-14,132 min,"Dramas, Independent Movies, International Movies"
Movie,India,19-May-18,2012,TV-14,94 min,"Dramas, Independent Movies, International Movies"
Movie,Pakistan,15-Sep-17,2016,TV-14,132 min,"Comedies, Dramas, International Movies"
TV Show,Japan,1-May-17,2008,TV-G,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows"
Movie,United States,1-Jan-19,2001,R,105 min,"Comedies, Cult Movies"
Movie,Poland,1-Oct-19,1973,TV-MA,97 min,"Dramas, International Movies, Romantic Movies"
TV Show,United States,18-Dec-20,2019,TV-G,2 Seasons,Reality TV
Movie,United States,1-Apr-16,2015,PG-13,109 min,Documentaries
TV Show,United States,16-Aug-17,2008,TV-14,2 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Dramas"
Movie,United States,1-Jan-19,2014,R,134 min,"Dramas, Music & Musicals"
Movie,"Ireland, United States, France",1-Apr-19,2018,TV-14,53 min,"Documentaries, Faith & Spirituality"
Movie,United States,1-May-18,2016,TV-MA,84 min,"Documentaries, LGBTQ Movies"
TV Show,India,1-Jun-17,2009,TV-14,1 Season,"International TV Shows, TV Dramas"
Movie,United States,1-Nov-19,1973,R,102 min,"Documentaries, Music & Musicals"
TV Show,Russia,1-Apr-19,2017,TV-Y7,1 Season,Kids' TV
Movie,United States,5-Jun-19,2011,PG,79 min,Documentaries
Movie,,31-Dec-19,1960,TV-14,181 min,"Action & Adventure, Dramas, International Movies"
Movie,United Kingdom,1-Apr-17,2017,TV-14,90 min,"Documentaries, International Movies, Music & Musicals"
Movie,India,15-Aug-16,2005,TV-14,79 min,"Documentaries, International Movies"
Movie,United States,2-May-19,2012,PG-13,133 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,India,31-Dec-19,2013,TV-MA,125 min,"International Movies, Thrillers"
Movie,,1-Feb-18,2017,TV-MA,80 min,"Documentaries, Music & Musicals"
Movie,United States,16-Apr-19,2018,TV-MA,101 min,"Dramas, Independent Movies, Sci-Fi & Fantasy"
TV Show,United Kingdom,25-Aug-16,2015,TV-14,1 Season,"British TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
Movie,India,1-Jan-18,2017,TV-MA,135 min,"Action & Adventure, International Movies"
TV Show,Chile,20-Mar-17,2015,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
TV Show,Mexico,27-Jan-17,2016,TV-14,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
Movie,India,31-Dec-19,1997,TV-14,133 min,"Comedies, International Movies, Romantic Movies"
Movie,United States,8-Aug-19,2011,PG,91 min,"Children & Family Movies, Comedies"
Movie,,15-Sep-18,2017,TV-14,52 min,Documentaries
Movie,United States,1-Jan-21,2009,PG-13,123 min,"Comedies, Dramas"
TV Show,United States," November 3, 2015",2014,TV-Y,2 Seasons,Kids' TV
Movie,United States,1-Nov-20,2011,PG-13,113 min,"Comedies, Romantic Movies"
Movie,United States,1-Mar-19,2005,R,107 min,"Comedies, Dramas, Independent Movies"
Movie,"United States, Australia",1-Aug-19,2015,PG-13,128 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,"Germany, United States, Canada",1-Sep-19,2005,PG-13,94 min,"Comedies, Romantic Movies"
Movie,Hong Kong,31-Aug-18,1992,TV-14,95 min,"Action & Adventure, Comedies, International Movies"
Movie,United States,1-Jan-18,2011,G,106 min,"Documentaries, Music & Musicals"
TV Show,Japan,1-Dec-16,2012,TV-MA,1 Season,"Anime Series, Crime TV Shows, International TV Shows"
Movie,"United Kingdom, Germany, Canada, United States",21-Nov-19,2002,PG-13,138 min,"Action & Adventure, Dramas"
TV Show,Turkey,26-Dec-16,2013,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
Movie,India,25-Jun-17,2017,TV-14,139 min,"Dramas, International Movies"
Movie,India,1-Mar-18,2015,TV-PG,132 min,"Dramas, International Movies, Romantic Movies"
Movie,India,31-Dec-19,1981,TV-14,173 min,"Action & Adventure, Dramas, International Movies"
Movie,India,1-Aug-18,2017,TV-PG,105 min,"Dramas, International Movies"
Movie,India,15-Dec-17,2016,TV-MA,148 min,"Action & Adventure, Dramas, International Movies"
Movie,India,1-Nov-17,2016,TV-14,120 min,"Dramas, International Movies, Romantic Movies"
Movie,"United States, France, Canada, Lebanon, Qatar",1-Oct-17,2014,PG,85 min,"Children & Family Movies, Dramas"
Movie,India,22-Oct-17,2010,TV-14,113 min,"Dramas, International Movies, Music & Musicals"
Movie,United Kingdom,8-May-18,2016,TV-MA,99 min,Thrillers
Movie,India,1-Mar-18,2017,TV-14,41 min,"Dramas, Independent Movies, International Movies"
Movie,India,1-Mar-18,2017,TV-14,110 min,"Horror Movies, International Movies, Thrillers"
Movie,India,22-Oct-17,2008,TV-14,137 min,"International Movies, Music & Musicals, Romantic Movies"
Movie,United States,1-Jan-20,2001,PG-13,118 min,"Comedies, Romantic Movies"
Movie,India,31-Dec-19,1982,TV-PG,140 min,"Comedies, Dramas, Independent Movies"
Movie,United States,19-Jul-18,2006,NR,85 min,Stand-Up Comedy
Movie,India,1-Jul-18,2017,TV-14,116 min,"Dramas, International Movies"
Movie,India,1-Jan-18,2005,TV-14,133 min,"Comedies, Dramas, International Movies"
TV Show,United States,22-Feb-17,1990,TV-14,1 Season,Docuseries
TV Show,United States,22-Feb-17,2014,TV-PG,1 Season,Docuseries
TV Show,United States,14-Mar-17,1996,TV-PG,1 Season,Docuseries
Movie,United States,1-Oct-18,2011,R,89 min,Stand-Up Comedy
Movie,United States,13-Jul-18,2013,R,75 min,Stand-Up Comedy
Movie,United States,1-Oct-18,2010,TV-MA,67 min,Stand-Up Comedy
Movie,United States,1-Jan-19,2017,TV-MA,90 min,"Documentaries, LGBTQ Movies"
TV Show,Pakistan,1-Aug-19,2017,TV-14,1 Season,"Crime TV Shows, International TV Shows, Romantic TV Shows"
Movie,India,1-Mar-18,1993,TV-14,170 min,"Action & Adventure, Dramas, International Movies"
TV Show,India,1-May-18,2018,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Comedies"
TV Show,India,1-Apr-17,2013,TV-14,1 Season,"International TV Shows, TV Dramas"
Movie,India,2-Aug-18,2006,TV-14,124 min,"Comedies, Dramas, International Movies"
TV Show,India,15-Mar-18,2011,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Movie,India,31-Dec-19,1980,TV-PG,120 min,"Classic Movies, Comedies, Dramas"
Movie,India,1-Mar-18,2003,TV-14,157 min,"Comedies, International Movies, Music & Musicals"
Movie,India,1-May-19,2018,TV-14,124 min,"Dramas, Independent Movies, International Movies"
Movie,United States,26-Apr-18,2017,R,110 min,Action & Adventure
Movie,United States,8-Dec-16,2016,TV-MA,90 min,Action & Adventure
Movie,United States,4-Nov-19,1995,R,97 min,"Comedies, Independent Movies, Romantic Movies"
Movie,Philippines,4-Mar-19,2015,TV-14,108 min,"Dramas, International Movies, Sports Movies"
Movie,"Netherlands, Belgium, United Kingdom, United States",8-Sep-17,2015,R,95 min,"Action & Adventure, Dramas, International Movies"
TV Show,,,2010,TV-Y,2 Seasons,Kids' TV
Movie,"United States, Japan",1-Jan-20,2003,R,111 min,Action & Adventure
Movie,United States,1-Jan-20,2004,R,137 min,Action & Adventure
Movie,United Kingdom,23-Feb-17,2016,TV-MA,100 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy"
Movie,France,1-May-19,2015,TV-14,53 min,"Documentaries, International Movies"
Movie,United States,17-Feb-17,2016,TV-MA,87 min,Action & Adventure
Movie,United States,21-Aug-20,2011,R,106 min,"Action & Adventure, Dramas, Independent Movies"
Movie,United States,1-Apr-20,1988,PG-13,86 min,"Comedies, Cult Movies, Horror Movies"
Movie,United States,1-Jan-21,2010,PG-13,100 min,"Action & Adventure, Comedies, Romantic Movies"
Movie,Hungary,15-Mar-18,2016,TV-MA,103 min,"Action & Adventure, Dramas, International Movies"
Movie,United Kingdom,1-Mar-19,2014,R,109 min,"Dramas, Independent Movies, Thrillers"
Movie,United States,1-Jul-16,2015,NR,81 min,"Dramas, Independent Movies"
Movie,"United States, Canada",1-Nov-19,2005,PG-13,98 min,"Action & Adventure, Comedies"
TV Show,,1-Oct-18,2018,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV"
Movie,United States,1-Jan-20,1996,PG-13,114 min,"Comedies, Cult Movies, Sports Movies"
Movie,"France, Belgium, China, United States",29-Oct-18,2017,R,87 min,Dramas
Movie,India,1-Nov-17,2015,TV-PG,132 min,"Comedies, International Movies"
Movie,United States,1-Jan-20,1997,R,116 min,Thrillers
TV Show,,26-May-19,2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
TV Show,United Kingdom,2-Oct-19,2017,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV"
Movie,Malaysia,21-Aug-17,2013,TV-14,92 min,"Comedies, Horror Movies, International Movies"
TV Show,Japan," December 1, 2019",2015,TV-MA,2 Seasons,"Anime Series, International TV Shows"
Movie,"United States, Chile, Israel",1-Nov-20,2015,R,99 min,"Horror Movies, Thrillers"
Movie,United States,31-Mar-17,1945,TV-14,63 min,"Classic Movies, Documentaries"
Movie,"United States, United Kingdom, Australia",1-Oct-19,2009,PG-13,121 min,"Sci-Fi & Fantasy, Thrillers"
Movie,United Kingdom,1-Mar-17,2016,TV-G,56 min,Documentaries
TV Show,,16-Feb-18,2014,TV-PG,1 Season,"Docuseries, International TV Shows"
Movie,"United Kingdom, Norway, Denmark, Germany, Sweden",26-Apr-19,2012,PG-13,96 min,"Action & Adventure, Dramas, International Movies"
Movie,India,31-Dec-19,1972,TV-14,115 min,"International Movies, Romantic Movies"
Movie,"Norway, Denmark, Sweden",5-Jan-17,2014,TV-MA,117 min,"Comedies, International Movies, Thrillers"
Movie,,8-Sep-17,2009,TV-Y7,58 min,Children & Family Movies
Movie,,8-Sep-17,2013,TV-Y7,62 min,Children & Family Movies
Movie,,8-Sep-17,2016,TV-Y,65 min,Children & Family Movies
Movie,,8-Sep-17,2012,TV-Y7,61 min,Children & Family Movies
Movie,India,17-Nov-17,2017,TV-Y7,65 min,Children & Family Movies
Movie,,8-Sep-17,2017,TV-Y7,65 min,Children & Family Movies
Movie,,8-Sep-17,2010,TV-Y7,58 min,Children & Family Movies
Movie,,8-Sep-17,2013,TV-Y7,60 min,Children & Family Movies
Movie,United States,7-Nov-18,2015,R,81 min,"Dramas, Independent Movies"
TV Show,,8-Jul-19,2019,TV-Y7,1 Season,Kids' TV
